mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
11	8	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	192												
11	8	79/2	79/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0										1/8	8				
11	8	40	40	0.0	3/4	3/4	FiguredBass	4/4	2	1	0										1/4	6				
11	8	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	193												
11	8	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	194												
11	8	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	195												
11	8	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	196												
11	8	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	197												
12	9	41	41	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0						
12	9	41	41	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	198	Welt											
12	9	42	42	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0						
12	9	85/2	85/2	0.0	3/8	3/8	Tempo	4/4	1	1	0					𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0						
12	9	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	199	zur											
12	9	171/4	171/4	0.0	7/16	7/16	Tempo	4/4	1	1	0					𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0						
12	9	43	43	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	200	Ruh'.											
12	9	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	201												
12	9	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	202												
12	9	43	43	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	203												
12	9	41	41	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	6	5			
12	9	41	41	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	204												
